2020-12-16 20:27:59,203: Key.enter
2020-12-16 20:27:59,908: 'o'
2020-12-16 20:28:00,020: 'k'
2020-12-16 20:28:00,208: 'o'
2020-12-16 20:28:00,345: 'k'
2020-12-16 20:28:00,845: Key.space
2020-12-16 20:28:01,658: 'h'
2020-12-16 20:28:01,770: 'a'
2020-12-16 20:28:01,883: 'h'
2020-12-16 20:28:01,983: 'a'
2020-12-16 20:28:02,795: Key.enter
2020-12-16 20:28:04,308: 'b'
2020-12-16 20:28:05,758: Key.backspace
2020-12-16 20:28:06,033: Key.enter
2020-12-16 20:28:06,770: Key.shift
2020-12-16 20:28:08,383: 'B'
2020-12-16 20:28:08,720: 'i'
2020-12-16 20:28:08,858: 'e'
2020-12-16 20:28:08,970: 'n'
2020-12-16 20:28:09,095: 't'
2020-12-16 20:28:09,208: 'o'
2020-12-16 20:28:09,332: 't'
2020-12-16 20:28:09,432: Key.space
2020-12-16 20:28:12,739: 'j'
2020-12-16 20:28:12,757: 'e'
2020-12-16 20:28:12,883: Key.space
2020-12-16 20:28:13,045: 's'
2020-12-16 20:28:13,307: 'e'
2020-12-16 20:28:13,483: 'r'
2020-12-16 20:28:13,633: 'a'
2020-12-16 20:28:13,758: 'i'
2020-12-16 20:28:13,845: 's'
2020-12-16 20:28:13,933: Key.space
2020-12-16 20:28:14,132: 'u'
2020-12-16 20:28:14,269: 'n'
2020-12-16 20:28:14,370: Key.space
2020-12-16 20:28:14,596: 't'
2020-12-16 20:28:14,733: 'r'
2020-12-16 20:28:14,833: Key.shift
2020-12-16 20:28:15,107: ['`']
2020-12-16 20:28:15,270: 'e'
2020-12-16 20:28:15,445: 's'
2020-12-16 20:28:15,545: Key.space
2020-12-16 20:28:15,708: 'b'
2020-12-16 20:28:15,808: 'o'
2020-12-16 20:28:15,983: 'n'
2020-12-16 20:28:16,133: Key.space
2020-12-16 20:28:16,270: 'p'
2020-12-16 20:28:16,408: 'e'
2020-12-16 20:28:16,508: 'n'
2020-12-16 20:28:16,757: 't'
2020-12-16 20:28:16,883: 'e'
2020-12-16 20:28:17,057: 's'
2020-12-16 20:28:17,183: 't'
2020-12-16 20:28:17,320: 'e'
2020-12-16 20:28:17,470: 'r'
2020-12-16 20:28:17,720: Key.space
2020-12-16 20:28:17,795: Key.shift
2020-12-16 20:28:17,883: ';'
2020-12-16 20:28:18,095: ')'
2020-12-16 20:28:18,208: Key.space
2020-12-16 20:28:20,370: Key.ctrl
2020-12-16 20:28:20,970: 's'
2020-12-16 20:28:24,087: Key.backspace
2020-12-16 20:28:26,814: Key.ctrl
2020-12-16 20:28:27,108: 'c'
